Last Updated: 2020-02-18 10:53:32.831000
2--- || 409      *Wifi By JOOR / *Wifi By JOOR                                            Enabled   vlan706               none        
1--- || 7        eaptest / eaptest                                                        Enabled   vlan208               none        
1234 || 6        Amex Lounge / Amex Lounge                                                Enabled   vlan707               none        
1234 || 30       JavitsTime / JavitsTime                                                  Enabled   vlan208               none        
2--- || 50       TimeLapse / TimeLapse                                                    Disabled  management            none        
1234 || 11       @Wi-Fi in Booth 5Mbps / @Wi-Fi in Booth 5Mbps                            Enabled   vlan207               none        
1234 || 5        FBS / FBS                                                                Enabled   vlan2003              none        
134- || 50       TimeLapse / TimeLapse                                                    Enabled   vlan207               none        
1234 || 359      MnD / MnD                                                                Disabled  vlan207               none        
1234 || 24       JavitsBees / JavitsBees                                                  Enabled   vlan207               none        
1234 || 325      #TFNY2020 / #TFNY2020                                                    Enabled   vlan207               none        
1234 || 20       American Fixture & Display / American Fixture & Display                  Disabled  vlan207               none        
1234 || 200      AG / AG                                                                  Enabled   vlan207               none        
1234 || 25       @ Jake / @ Jake                                                          Enabled   vlan207               none        
1234 || 13       JavitsAV / JavitsAV                                                      Enabled   vlan162               none        
1234 || 10       Ephemera / Ephemera                                                      Enabled   vlan207               none        
2--- || 150      HGSHOW / HGSHOW                                                          Enabled   vlan712               none        
1234 || 336      nywstaffwifi / nywstaffwifi                                              Disabled  vlan207               none        
134- || 150      HGSHOW / HGSHOW                                                          Disabled  vlan712               none        
1234 || 17       @Javits Wi-Fi / @Javits Wi-Fi                                            Enabled   vlan205               none        
1--- || 9        Guest_test / Guest_test                                                  Enabled   vlan207               none        
1234 || 8        Cultivated-Javit / Cultivated-Javit                                      Enabled   vlan2001              none        
1234 || 174      SPM1959 / SPM1959                                                        Disabled  vlan207               none        
1234 || 2        NYCCOC / NYCCOC                                                          Enabled   vlan208               none        
1234 || 495      NYNow2020 / NYNow2020                                                    Disabled  vlan207               none        
134- || 409      *Wifi By JOOR / *Wifi By JOOR                                            Disabled  vlan706               none        
1234 || 3        @Wi-Fi in Booth 1.5Mbps / @Wi-Fi in Booth 1.5Mbps                        Enabled   vlan207               none        
1234 || 4        Javits Center / Javits Center                                            Enabled   vlan207               none        
